PUBCHEM_SMILES,PUBCHEM_ACTIVITY_OUTCOME,Antagonist Activity,Viability Activity,Antagonist Efficacy (%),Molecule
C(CCC(=O)O)CCN,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4d540>
CC(C)NCC(COC1=CC=CC=C1CC=C)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4d5b0>
CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4d620>
COC1=CC=C(C=C1)C(=O)N2CCCC2=O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4d690>
CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4d700>
CN(C)CC[C@@H](C1=CC=C(C=C1)Br)C2=CC=CC=N2.C(=C\C(=O)O)\C(=O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4d770>
CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4d7e0>
C[N+](C)(C)CC(=O)O.[Cl-],Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4d850>
C1=CC(=CC=C1C(CC(=O)O)CN)Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4d8c0>
CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4d930>
CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4d9a0>
CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4da10>
C(CCl)NC(=O)N(CCCl)N=O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4da80>
CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4daf0>
C1CNP(=O)(OC1)N(CCCl)CCCl.O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4db60>
CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4dbd0>
CN(C)CC[C@@H](C1=CC=C(C=C1)Cl)C2=CC=CC=N2.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4dc40>
C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4dcb0>
CCC1=CC(=CC=C1)N(C)C(=NC2=CC=CC3=CC=CC=C32)N.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4dd20>
C[N+](C)(C)CCOC(=O)N.[Cl-],Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4dd90>
C1=CC2=C(C=C1Cl)NC(=O)O2,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4de00>
CC(C[N+](C)(C)C)OC(=O)N.[Cl-],Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4de70>
C1CN(CCN1)C2=CC(=CC=C2)Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4dee0>
C1=CC(=CC=C1CC(C(=O)O)N)Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4df50>
CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4dfc0>
CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4e030>
CCCC(C)(COC(=O)N)COC(=O)NC(C)C,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4e0a0>
CN(C)CCOC(=O)COC1=CC=C(C=C1)Cl.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4e110>
C1C2CC(C1C=C2)C3NC4=CC(=C(C=C4S(=O)(=O)N3)S(=O)(=O)N)Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4e180>
C(CC(C(F)F)(C(=O)O)N)CN.O.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4e1f0>
CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4e260>
C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C.[Br-].[Br-],Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4e2d0>
CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4e340>
CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4e3b0>
C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4e420>
CCCCCCCCCCCCCCC[C@@H]([C@H](CO)N)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4e490>
CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4e500>
C1=C(N=C(NC1=O)N)N,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4e570>
CC(C)C1=C(C(=CC=C1)C(C)C)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4e5e0>
CCN(CC)C(=O)C1=CC(=C(C=C1)O)OC,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4e650>
CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4e6c0>
CCN1C2=NC=C(C(=C2C=N1)NN=C(C)C)C(=O)OCC.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4e730>
C[C@@H]([C@@H](C1=CC=CC=C1)O)NC.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4e7a0>
CC[N+](C)(C)C1=CC(=CC=C1)O.[Cl-],Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4e810>
CCC1(CC2=CC=CC=C2O1)C3=NCCN3,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4e880>
